"STORE_All Categories";"All Categories"
"STORE_TRANSACTION_REPORT_FORM %1$scontact%2$s";"Please check the attached message and report this to your site administrator using the %1$scontact%2$s form."
"STORE_TRANSACTION_SHIPPING_DETAILS_ERROR";"There was an error according to your shipping parameters. Please check your shipping details carefully and try again."
"STORE_TRANSACTION_TAX_ERROR";"There was an error according to your tax payment. Please check your cart items carefully and try again."
"pagetitle-store-process-transaction";"Redirecting..."
"STORE_Remove from Cart";"Remove from Cart"
"STORE_YOU_DO_NOT_HAVE_ENOUGH_MONEY_FOR_REQUESTING %1s";"You do not have enough money for requesting. Minimum allowed amount of request money is <span class='store-price'>%1s</span>"
"STORE_REQUEST_MONEY_FORM_DESCRIPTION";"!!!"
"STORE_REQUEST_MONEY_FORM_REQUEST_AMOUNT_FIELD";"Here you can provide us with the amount of money you want to request."
"STORE_Your request has been successfully completed.";"Your request has been successfully completed."
"STORE_An unexpected error has occurred. Please, try again.";"An unexpected error has occurred. Please try again."
"STORE_No request was found with the provided ID";"No request was found with the provided ID."
"STORE_Your request has been successfully cancelled";"Your request has been successfully cancelled."
"STORE_Minimum Request Amount";"Minimum Request Amount"
"STORE_Minimum allowed requests for store owners per request.";"Please set minimum amount of funds which can be requested by store owners. If store owner has less funds then he won't be able to request money until exceeds Minimum Request Amount."
"There are no requests by your store owners yet.";"There are no requests from store owners."
"STORE_No request was found with the provided ID.";"No request was found with the provided ID."
"STORE_Store Name";"Store Name"
"STORE_Owner Name";"Owner Name"
"Requested Amount";"Withdrawn Amount"
"Requested Date";"Requested Date"
"STORE_Send the requested money to the account provided by store";"Send the requested money to the finance account provided by store"
"pagetitle-store-response-admin-requests";"Response"
"Send with %1s";"Send with %1s"
"Store Name - %1s, Store Owner - %2s";"Store Name - %1s, Store Owner - %2s"
"STORE_Send Money";"Send Money"
"Your transaction has been cancelled. If this is not correct, please try again later.";"Your transaction has been cancelled. If would like you can try again later."
"Back to Request";"Back to Request"
"Transaction Failed";"Transaction Failed"
"Transaction Pending";"Transaction Pending"
"Transaction Complete";"Transaction Completed"
"_EMAIL_STORE_REQUEST_COMPLETE_TITLE";"Store Money Withdrawal Completed"
"_EMAIL_STORE_REQUEST_COMPLETE_DESCRIPTION";"This email is sent to the administrators when they have successfully completed a transaction for a store money withdrawal request."
"_EMAIL_STORE_REQUEST_COMPLETE_SUBJECT";"Money withdrawal transaction has been successfully completed"
"_EMAIL_STORE_REQUEST_COMPLETE_BODY";"Hello [recipient_title],
Your transaction for the store money withdrawal request has been successfully completed.

Request details:
[request_details]

follow the following URL to get more details: [request_link]"

"_EMAIL_STORE_REQUEST_PENDING_TITLE";"Store Money Withdrawal Transaction is Pending"
"_EMAIL_STORE_REQUEST_PENDING_DESCRIPTION";"This email is sent to the administrators when their transaction for a store money withdrawal request is pending."
"_EMAIL_STORE_REQUEST_PENDING_SUBJECT";"Money withdrawal transaction is pending"
"_EMAIL_STORE_REQUEST_PENDING_BODY";"Hello [recipient_title],
Your transaction for the store money request is pending.

Order details:
[request_details]

follow the following URL to get more details: [request_link]"
"Pending Amount";"Processing Amount"
"STORE_Deny Request";"Deny Request"
"STORE_Are you sure you want to deny this money request from %1s?";"Are you sure you want to deny this money withdrawal request from %1s?"
"STORE_The request has been denied.";"The request has been denied."
"STORE_Order Details";"Order Details"
"STORE_Payment Details";"Payment Details"
"STORE_Address Line";"Address Line"
"STORE_Address Line 2";Address Line 2"
"STORE_State/Region";"State/Region"
"STORE_Phone";"Phone"
"Change Status";"Change Status"
"Are you sure you want to change status of this item?";"Are you sure you want to change status of this item?"
"STORE_No order found with the provided id.";"No order has been found with the provided ID."
"STORE_Status cannot be changed.";"Status cannot be changed."
"pagetitle-store-index-admin-orders";"Store Orders"
"Change to";"Change to"
"STORE_Status have been successfully changed";"Status has been successfully changed."
"STORE_Last Update Date";"Last Update Date"
"STORE_Money Request";"Money Request"
"pagetitle-store-index-admin-requests";"Money Requests"
"STORE_Money Requests";"Money Requests"
"STORE_ADMIN_REQUESTS_DESCRIPTION";"Browse withdrawal requests from store owners, filter them by their store or status, click on Response link to accept their request and send money."
"Shipping Amount";"Shipping Amount"
"STORE_By Transaction";"By Transaction"
"STORE_By Order";"By Order"
"_EMAIL_STORE_OWNER_REQUEST_COMPLETE_TITLE";"Store Money Withdrawal Request Completed"
"_EMAIL_STORE_OWNER_REQUEST_COMPLETE_DESCRIPTION";"This email is sent to the store owners when their money requests are completed successfully and money has been sent."
"_EMAIL_STORE_OWNER_REQUEST_COMPLETE_SUBJECT";"Your money withdrawal request has been successfully completed"
"_EMAIL_STORE_OWNER_REQUEST_COMPLETE_BODY;"Hello [recipient_title],
Your money withdrawal request has been successfully completed.

Request details:
[request_details]

follow the following URL to get more details: [request_link]"

"_EMAIL_STORE_OWNER_REQUEST_PENDING_TITLE";"Store Money Withdrawal Request Pending"
"_EMAIL_STORE_OWNER_REQUEST_PENDING_DESCRIPTION";"This email is sent to the store owners when their money withdrawal requests are pending."
"_EMAIL_STORE_OWNER_REQUEST_PENDING_SUBJECT";"Your money withdrawal request is pending"
"_EMAIL_STORE_OWNER_REQUEST_PENDING_BODY";"Hello [recipient_title],
Your money withdrawal request is pending.

Request details:
[request_details]

follow the following URL to get more details: [request_link]"
"STORE_Purchasing is not possible. %1s";"Purchasing is not possible. %1s"
"STORE_Unfortunately, the store of this product does not support your location. Please, try to contact to the store owner or %1s your shipping details";"Unfortunately the product vendor does not support your location. Please contact the vendor for more options or %1s your shipping details."
"STORE_Manage your products - here you can add new products, edit and delete existing ones etc.";"Add new products to sell and edit details of existing products."
"STORE_Edit your Store Settings - enable your api credentials to be able to sell your products etc.";"Configure supported shipping locations, finance information, etc."
"STORE_View your Store Statistics - check out the transactions to your store, view your products statistics etc.";"Check out your store sales statistics in a chart and list view."
"STORE_Manage your transactions - here you can check your transactions and requests.";"Browse your store orders and transactions by products, members and order key."
"Purchase";"Purchase"
"pagetitle-store-wish-list-panel";"My Wishlist"
"My Wishlist";"My Wishlist"
"STORE_There are no wished products.";"There is no any wished product."
"pagetitle-store-gateway-settings";"Gateway Settings"
"pagetitle-store-purchases-panel";"My Purchases"
"My Purchases";"My Purchases"
"STORE_VIEWS_SCRIPTS_PURCHASES_DESCRIPTION";"Here you can view your purchases details and check their status, also you can download purchased intangible products."
"STORE_You can not purchase %1s amount of this product. Please, try to contact to the store owner or select available amount of quantity.";"Unfortunately you have exceeded the number(%1s) of available items of this product. Please select available amount of the product or contact the vendor for more options."
"STORE_%1s - available quantity: %2s";"%1s - available quantity: %2s"
"STORE_You have not set your shipping details yet. Please, follow the following url to set your details: %1s";"You have not provided your shipping details yet. Please follow the link to fulfil shipping information: %1s"
"STORE_There is no purchases";"There are no purchases."
"%s purchase is found.;%s purchase is found.";"%s purchases are found."
"Order Key";"Order Key"
"STORE_Show Default Cart?";"Show Sidebar Cart Icon?"
"STORE_Show the default sidebar cart on the selected pages.";"Disable the cart icon or select pages where it is shown:"
"STORE_Enable digital product?";"Enable selling of digital products?"
"STORE_Set Default View Mode";"Set Products Default View Mode"
"STORE_Set default view mode on browse products and browse stores.";"Set default view mode on Browse Products and Browse Stores."
"%s cart";"cart - %s"
"View Cart";"View Cart"
"STORE_Show Mini Menu Cart?";"Show Mini Menu Cart?"
"STORE_Show the the Mini Menu Cart on the selected pages.";"Disable the cart link from top menu or select pages where it is shown:"
"(%s item)";"(%s item)";"(%s items)"
"%s product";"%s product";"%s products"
"ITEM_TYPE_STORE_PRODUCT";"Products"
"Store Type";"Store Type"
"STORE_TAX_DESCRIPTION";"Select the tax which is applied to this product on purchase. The customer pays this tax."
"add more";"add more"
"%s item available";"%s item available";"%s items available"
"STORE_Popular Product Tags";"Popular Product Tags"
"Sponsored Products Slider";"Sponsored Products Slider"
"Sponsored Stores Slider";"Sponsored Stores"
"STORE_GATEWAY_ACCOUNT_SETTINGS";"Payments are handled and stored in the social network. You can request withdrawal of your funds which are sent to provided below account on a payment gateway. Please enable the payment gateway using which you would like to get your funds from your account balance."
"pagetitle-store-index-locations";"Edit Supported Shipping Locations"
"%s location found";"%s location found";"%s locations found"
"pagetitle-store-chart-statistics";"Sales in Chart"
"pagetitle-store-list-statistics";"Sales per Products"
"pagetitle-store-index-products";"Manage Products"
"pagetitle-store-create-products";"Add Product"
"pagetitle-store-edit-products";"Edit Product"
"pagetitle-store-add-photo";"Add Photo"
"pagetitle-store-edit-photo";"Manage Photo"
"Discount expiry date";"Discount expiry date"
"pagetitle-store-create-audios";"Add Audio"
"pagetitle-store-edit-audios";"Edit Audio"
"pagetitle-store-create-video";"Add Video"
"pagetitle-store-purchase-panel";"Purchase Details"
"You do not have a permission to order products";"You are not allowed to order products."
"Zip";"Zip"
"delivered";"delivered"
"Delivered";"Delivered"
"Shipping";"Shipping"
"Add Video for Product %s";"Add Video for Product %s"
"suggest_popup_title_page %s";"Offer your friends who might be buyers of `%s` product."
"pagetitle-store-index-requests";"Account Balance"
"STORE_There no request has been done yet.";"You have not requested any withdrawal yet."
"STORE_VIEWS_SCRIPTS_REQUEST_DESCRIPTION";"You can control your account balance and withdraw funds. Check your account finance information on the right side:<br />
- <b>Current Balance</b> displays your account's actual balance;<br />
- <b>Withdrawn Amount</b> is a fund you have requested to withdraw, it is under Admin consideration;<br />
- <b>Processing Amount</b> is accepted and sent amount by admin, it is processing so you will receive this fund very soon;<br />
- <b>Transferred Amount</b> has been already withdrawn to your finance account.<br />
"
"Short Information";"Your Account Balance"
"Current Balance";"Current Balance"
"Last Request Date";"Last Withdraw Date"
"Transferred Amount";"Transferred Amount"
"Last Transfer Date";"Last Transfer Date"
"Request Money";"Withdraw Money"
"Product";"Product"
"Commission";"Commission"
"Request Amount";"Withdraw Amount"
"Request Message";"Withdraw Message"
"Request";"Withdraw"
"Commission Amount";"Commission Amount"
"Denied";"Denied"
"%s request found";"%s request found";"%s requests found"
"Response Message";"Response Message"
"Request Date";"Request Date"
"Response Date";"Response Date"
"Orders";"Orders"
"This is a list all stores created by your users. Use form to filter stores.";"This is a list of stores created by your members. Please use the form to filter stores."
"Current Amount";"Current Amount"
"STORE_Product Orders";"Product Orders"
"Processing";"Processing"
"Waiting";"Waiting"
"Pending";"Pending"
"Item Type";"Item Type"
"response";"response"
"Requested Message";"Withdrawn Message"
"Store cart";"Store cart"
"STORE_Commission Chart";"Commission Chart"
"STORE_Commission List";"Commission List"
"Sell Count";"Sell Count"
"By Product";"By Product"
"By Store";"By Store"
"STORE_Commission List Statistics by Product and by Store";"Commissions Statistics by Products and Stores"
"Filter By";"Filter By"
"On all pages";"On all pages"
"Only on Store";"Only on Store"
"Do not show";"Do not show"
"List Mode";"List Mode"
"Icon Mode";"Icon Mode"
"STORE_Set default view mode on browse products.";"Set default view mode on browse products."
"No, do not allow using Store.";"No, do not allow using Store."
"Yes, allow using Store.";"Yes, allow using Store."
"No, do not allow comment/like products.";"No, do not allow comment/like products."
"Allow Using Store?";"Allow Using Store?"
"Percent(Ex: 10.00 or 0.03)";"Percent(Ex: 10.00 or 0.03)"
"Percent";"Percent"
"Edit Tax";"Edit Tax"
"Delete Tax";"Delete Tax"
"Are you sure you want to delete this Tax?";"Are you sure you want to delete this Tax?"
"Add title and percent of Tax";"Add title and percent of Tax"
"%s question found";"%s question found";"%s questions found"
"STORE_There are no FAQ.";"There are no FAQs."
"STORE_Create New FAQ.";"Create New FAQ"
"pagetitle-store-create-admin-faq";"Create New FAQ in Store"
"STORE_ADMIN_FAQ_CREATE_DESCRIPTION";"Fulfil this form to create a new FAQ for Store:"
"FAQ";"FAQ"
"Question";"Question"
"Answer";"Answer"
"STORE_Add FAQ";"Add FAQ"
"STORE_Edit FAQ.";"Edit FAQ"
"Delete FAQ";"Delete FAQ"
"pagetitle-store-index-admin-faq";"Store FAQs"
"STORE_ADMIN_FAQ_DESCRIPTION";"These FAQs are displayed for your members in Store section. Please add here any helpful frequently asked questions and their answers."
"Are you sure you want to delete this FAQ?";"Are you sure you want to delete this FAQ?"
"STORE_Please Wait";"Please Wait"
"Product successfully added to Wishlist.";"This product has been added to your wishlist".
"Product successfully removed from Wishlist.";"This product has been removed from your wishlist".
"in %s store";"in %s store"
"STORE_items";"items"
"STORE_tax";"tax"
"STORE_total";"total"
"Order Summary";"Order Summary"
"Order via Credits";"Order via Credits"
"update";"update"
"STORE_Account Balance";"Withdraw Money"
"STORE_Account Balance Description";"Check your account balance and request money withdrawal."
"pagetitle-credit-index-store";"Store Checkout"
"Your Balance";"Your Balance"
"pagetitle-store-finish-transaction";"Payment Completed"
"pagetitle-store-index-admin-product-locations";"Edit This Product Supported Shipping Locations"
"pagetitle-store-index-product-locations";"Edit This Product Supported Shipping Locations"
"STORE_ADMIN_FAQ_EDIT_DESCRIPTION";"Edit this FAQ using the form below:"
"pagetitle-store-edit-admin-faq";"Edit FAQ"
"Gateways do not match";"Gateways do not match"
"Wrong item_type has been provided. Method requires 'store_cart'";"Wrong item_type has been provided. Method requires 'store_cart'"
"Provided store_cart doesn't have any order items";"Provided store cart doesn't have any order items"
"There was an error processing your transaction. Please try again later.";"There was an error processing your transaction. Please try again later."
"Wrong item_type has been provided. Method requires 'store_request'";"Wrong item_type has been provided. Method requires 'store_request'"
"Provided store_request doesn't exist";"Provided store request doesn't exist"
"Provided store doesn't exist";"Provided store doesn't exist"
"Store owner doesn't exist or has been deleted";"Store owner doesn't exist or has been deleted"
"Custom order item "%s" does not implement onPaymentIpn() method";"Custom order item "%s" does not implement onPaymentIpn() method"
"Unknown order type for IPN";"Unknown order type for IPN"
"Unknown or unsupported IPN type, or missing transaction or order ID";"Unknown or unsupported IPN type, or missing transaction or order ID"
"Your payment has been cancelled and not been purchased. If this is not correct, please try again later.";"Your payment has been cancelled and not been purchased. If this is not correct, please try again later."
"Your payment could not be completed. Please ensure there are sufficient available funds in your account.";"Your payment could not be completed. Please ensure there are sufficient available funds in your account."
"Gateway Title";"Gateway Title"
"Sale ID";"Sale ID"
"Invoice ID";"Invoice ID"
"Invoice Amount";"Invoice Amount"
"Unknown IPN payment status %1$s";"Unknown IPN payment status %1$s"
"Unknown IPN type %1$s";"Unknown IPN type %1$s"
"There is no photos.";"There is no photos."
"There is no video.";"There is no video."


"Gateway fee";"Gateway fee"
"STORE_PAGE_COPY_PRODUCT_DESCRIPTION_FORM";"Here you can copy the detailed finished product. There are fields that you can not change. Your product will be available to your customers instantly."
"STORE_Set Default Payment Mode";"Set Default Payment Mode"
"STORE_Set default payment mode for store owners. If you choose Direct Payment you won't able to use 2Checkout gateway";"Set default payment mode for store owners. <span style='color: red; font-weight: bold;'>If you choose Direct Payment you won't able to use 2Checkout gateway.</span>"
"Client-Site-Store Mode";"Client-Site-Store Mode"
"Client-Store(Direct Payment) Mode";"Client-Store(Direct Payment) Mode"
"PayPal Email Address";"PayPal Email Address"
"Please fill this PayPal Email field, it is required for Client-Store mode.";"Please fill this PayPal Email field, it is required for Client-Store mode."
"STORE_Enable your PayPal gateway to view and sell your products on Browse Products Page.";"You have enabled Client-Store Mode, please enable your PayPal gateway to view and sell your products on Browse Products Page."
"STORE_Admin's Store";"Admin's Store"
"STORE_Status have been successfully changed.";"Status have been successfully changed."
"Store needs a default list of supported shipping locations for your tangible products, customers from not-supported locations are not able to make a purchase. You must %1$sadd one%2$s before this page is available.";"Store needs a default list of supported shipping locations for your tangible products, customers from not-supported locations are not able to make a purchase. You must %1$sadd one%2$s before this page is available."
"STORE_All changes have been successfully saved";"All changes have been successfully saved"
"STORE_This location is already exist";"This location is already exist"
"STORE_Validate";"Validate"
"STORE_Choose one of these:";"Choose one of these:"
"STORE_Location Name and Location Code are empty";"Location Name and Location Code are empty"
